(-1.095, -0.262, 0.8895)
0.0042714057, 0.005827235, 0.007469695, 3.1415253
0.014279391, 0.013665993, 0.011270969, 2.9211776
0.044457372, 0.02464682, 0.035675533, 2.67235
0.06618005, 0.029230267, 0.032563727, 2.4487047
0.08718202, 0.036590632, 0.023597185, 2.8962948
0.10388822, 0.045190178, 0.00929277, 3.0228074
0.13695839, 0.05136195, 0.0016641505, 3.0791683
0.18323632, 0.06392081, -0.01146294, 2.6696517
0.24019304, 0.07836762, -0.022610225, 2.7490969
0.29932195, 0.10271514, -0.036961585, 2.7311094
0.3497057, 0.13099973, -0.052028853, 2.202875
0.41378093, 0.1730407, -0.075152196, 3.3465831
0.48704052, 0.2214868, -0.10062621, 2.685541
0.5419466, 0.26458344, -0.12240332, 2.857022
0.57014215, 0.28343865, -0.1363796, 2.760189
0.59532624, 0.29691076, -0.14955485, 2.642071
0.6161817, 0.30661097, -0.15779054, 2.9400647
0.6281072, 0.32114816, -0.1588158, 2.5443387
0.6234337, 0.3417651, -0.15438682, 3.0467908
0.59909225, 0.36963087, -0.13911226, 2.1848874
0.5608909, 0.4186041, -0.11603818, 2.205573
0.50311226, 0.4872402, -0.092233256, 2.145015
0.44923776, 0.53074735, -0.06989792, 1.9723346
0.3896878, 0.5744962, -0.04890796, 2.1555078
0.33551633, 0.6242248, -0.03575279, 2.1330233
0.29071644, 0.67788875, -0.026051493, 1.9309633
0.2545584, 0.73439234, -0.015145592, 1.8545161
0.19981514, 0.78012574, -0.017667849, 2.0301945
0.15526806, 0.7890373, -0.016493784, 2.000515
0.10943258, 0.7938466, -0.013913176, 2.0940504
0.06692121, 0.7972024, -0.018166434, 2.0622723
0.007846725, 0.7652053, -0.023649475, 2.0221002
-0.06275779, 0.7019504, -0.01679191, 1.8278346
-0.1673713, 0.60609496, -0.012503784, 1.5334384
-0.25036895, 0.52563053, -0.015589252, 1.5862019
-0.31769586, 0.4554122, -0.020466847, 1.3928357
-0.36253902, 0.40774074, -0.029319791, 1.4153202
-0.40143293, 0.35877296, -0.042350955, 1.339173
-0.41982102, 0.32676634, -0.0479549, 1.360758
-0.42964873, 0.29128698, -0.04505648, 1.339173
-0.43209532, 0.27087823, -0.03877507, 1.3505651
-0.41509488, 0.26619852, -0.011303075, 1.2657237
-0.38003448, 0.26042607, 0.04038797, 1.0672611
-0.32791123, 0.24374866, 0.109133795, 1.6086863
-0.26456696, 0.22567736, 0.1810455, 1.5604198
-0.20187977, 0.201842, 0.24938016, 1.5187486
-0.14825146, 0.1788821, 0.30360657, 1.4048275
-0.10464308, 0.16054688, 0.3504696, 1.3712507
-0.080092795, 0.14948793, 0.3785998, 1.3148897
-0.06632429, 0.1422805, 0.39597183, 1.2822124
-0.054008536, 0.13428214, 0.41284704, 1.3814436
-0.046519727, 0.1253015, 0.42593563, 1.3487663
-0.039545234, 0.118849285, 0.43494806, 1.2114613
-0.038171127, 0.11497684, 0.43996823, 1.265424
-0.038303714, 0.11394626, 0.44396085, 1.3964332
-0.034604475, 0.11234063, 0.44885936, 1.2588285
-0.022986306, 0.10653129, 0.4489687, 1.2879084
