(1.95, -0.392, -2.435)
-0.0014158674, 0.002125319, -0.001100935, 3.1586134
-0.00088732585, 0.0029594076, -0.0053068264, 3.0515873
-0.003109634, 0.0030686222, -0.0068355873, 3.0656776
-0.0034106327, 0.00589282, -0.0065589114, 3.0929587
-0.002098862, 0.0060794977, -0.0057545565, 3.0333002
-0.0026757019, 0.008020712, -0.005921817, 3.065378
-0.001080785, 0.009676439, -0.014867581, 3.072573
0.0023067435, -0.0063245115, -0.030481331, 3.0749712
0.0038613528, -0.005709236, -0.043341555, 3.0899608
0.006509971, -0.0020933328, -0.05554527, 3.1061497
0.0062238015, -0.0036949539, -0.07000882, 3.111546
0.008591175, -0.0077791554, -0.08798756, 3.1046507
0.011567302, -0.012550064, -0.107479736, 3.0530863
0.018301308, -0.014777562, -0.13483426, 3.0422938
0.02372803, -0.018622318, -0.16877489, 3.0084174
0.021649115, -0.016539898, -0.21310803, 2.9919288
0.015752077, -0.017552702, -0.26634556, 2.9463603
0.014227726, -0.014932506, -0.31167808, 2.9127836
0.02972769, -0.012798472, -0.35424766, 2.8408334
0.06121254, -0.009024491, -0.4073083, 2.7781768
0.10823791, -0.011450179, -0.47743317, 2.703828
0.15764377, 0.0072108665, -0.5440304, 2.6006997
0.18932536, 0.043557614, -0.60083365, 2.5515337
0.21385457, 0.060608935, -0.63976455, 2.446906
0.24496986, 0.06046025, -0.66170263, 2.433715
0.27039087, 0.0596981, -0.67201567, 2.4496043
0.29325706, 0.057490285, -0.6718922, 2.4037359
0.309328, 0.045854937, -0.6675987, 2.4277194
0.31626767, 0.03849867, -0.6593398, 2.4373126
0.31948137, 0.03340202, -0.65085894, 2.429818
0.3194972, 0.030813677, -0.6423561, 2.4148283
0.31181413, 0.030343145, -0.6362443, 2.4720886
0.30021557, 0.028227782, -0.6280887, 2.42682
0.28643602, 0.02663094, -0.62138885, 2.477485
0.26961893, 0.025256395, -0.62371725, 2.4690907
0.25305206, 0.026476838, -0.63856053, 2.4217234
0.23894097, 0.02937026, -0.66322714, 2.4229226
0.22833227, 0.03632367, -0.6935808, 2.409432
0.21878253, 0.043941908, -0.73082894, 2.378853
0.2057937, 0.04742171, -0.78421295, 2.323991
0.19262955, 0.046313304, -0.852001, 2.2631333
0.18056588, 0.044928346, -0.9357787, 2.255039
0.16697451, 0.050525256, -1.0176468, 2.0664694
0.14851114, 0.06171093, -1.0787749, 1.961542
0.122277364, 0.067548975, -1.1328467, 2.5290492
0.10125065, 0.06884508, -1.1845711, 2.6786456
0.08581731, 0.0670457, -1.2430502, 2.5839112
0.07597122, 0.068098865, -1.3108659, 2.2034745
0.07025635, 0.072034426, -1.378619, 2.1863863
0.05648429, 0.074268654, -1.4291164, 2.172596
0.04517597, 0.07635949, -1.4695195, 2.097648
0.039399043, 0.07323366, -1.5062932, 2.0892537
0.039913014, 0.07590774, -1.5284128, 2.1168346
0.05531323, 0.07622273, -1.5375743, 2.1402183
0.08460927, 0.0667897, -1.5289662, 2.477185
0.121159315, 0.051412385, -1.5072955, 1.8032516
0.15093206, 0.054828543, -1.4706209, 1.8074487
0.17437671, 0.06366722, -1.4223932, 1.8368284
0.1970173, 0.06517677, -1.3549598, 1.9810286
0.21683328, 0.057713952, -1.2633275, 2.0391884
0.23012666, 0.053436782, -1.1587384, 2.0304942
0.23418517, 0.061687242, -1.0635713, 2.186986
0.22877021, 0.07225921, -0.9794562, 2.1992774
0.21784268, 0.0753961, -0.8927286, 2.3491738
0.1942876, 0.07193724, -0.7874088, 2.4523022
0.17450276, 0.051125858, -0.6733227, 2.5002692
0.16818726, 0.05298825, -0.56063884, 2.589907
0.1701115, 0.062309038, -0.45437098, 2.6381736
0.17509909, 0.058957946, -0.34110972, 2.7284112
0.16577147, 0.062403124, -0.20389989, 2.8120532
