(-5.709, -0.363, -6.383)
0.0, 0.0, 0.0, 13.905873
-0.22736761, 0.0069874446, -0.4588814, 13.486164
-0.24223901, 0.008066325, -0.5967188, 11.133992
-0.2619994, 0.013200977, -0.73590887, 10.489139
-0.28311533, 0.020423185, -0.84894615, 9.277678
-0.30231082, 0.025561705, -0.9334504, 10.370121
-0.31260136, 0.023275405, -1.0114635, 15.191084
-0.30710492, 0.015307979, -1.1696563, 9.959405
-0.30300063, 0.01819607, -1.2586182, 9.784027
-0.30274457, 0.030773807, -1.3323463, 9.685395
-0.29409206, 0.032382607, -1.3975405, 9.662611
-0.28547055, 0.020664057, -1.4668733, 9.70698
-0.2768703, 0.012594296, -1.5437869, 9.694689
-0.27831334, 0.018541783, -1.6274073, 9.66321
-0.29899386, 0.022956315, -1.7238795, 9.486933
-0.3165825, 0.024956938, -1.7949103, 9.385303
-0.3260884, 0.03081569, -1.8668146, 9.408687
-0.32506442, 0.028604522, -1.9409546, 9.5331
-0.34504297, -0.018848278, -3.1138773, 9.075917
-0.33542144, -0.018061474, -3.1723714, 9.647921
-0.3180996, -0.028879592, -3.2261882, 6.4491353
-0.29904836, -0.03917019, -3.2884977, 6.3666925
-0.2808567, -0.048469145, -3.3545032, 6.309132
-0.2708071, -0.04311509, -3.3942435, 6.3088326
-0.26510164, -0.033442132, -3.4207711, 6.402068
-0.25545806, -0.024192883, -3.435971, 6.3229227
-0.24529825, -0.014608752, -3.4420025, 6.573849
-0.23652776, -0.0038299398, -3.4346879, 5.919102
-0.22711919, 0.0035631794, -3.4235873, 5.580337
-0.21994995, 0.013116054, -3.4032743, 5.656484
-0.206164, 0.02094614, -3.370117, 6.3867784
-0.19448985, 0.032243516, -3.3160796, 5.9014144
-0.18938325, 0.04774902, -3.2347028, 6.0561075
-0.17090113, 0.053223487, -3.1367533, 6.4608274
-0.15250921, 0.06633802, -3.0469823, 6.769314
-0.1445807, 0.07992395, -2.9862924, 7.0313325
-0.15634969, 0.0754923, -2.9104445, 7.654001
